Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price
3/12/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,432,1.54
3/12/21,NATIONAL,VEGETABLES,EGGPLANT,,Y,,per pound,53,2.49
3/19/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,6,0.25
3/19/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,453,1.88
3/26/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,462,1.38
3/26/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,706,1.17
4/2/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,61,1.04
4/2/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,187,1.22
4/2/21,NATIONAL,VEGETABLES,EGGPLANT,,Y,,per pound,30,1.99
4/9/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,175,1.15
4/9/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,611,1.34
4/9/21,NATIONAL,VEGETABLES,EGGPLANT,,Y,,per pound,30,1.99
4/16/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,162,0.94
4/16/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,469,1.13
4/16/21,NATIONAL,VEGETABLES,EGGPLANT,,Y,,each,79,2.99
4/23/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,391,1.64
4/23/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,545,1.32
4/23/21,NATIONAL,VEGETABLES,EGGPLANT,,Y,,each,13,1.29
4/30/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,37,0.9
4/30/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,488,1.24
5/7/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,7,0.5
5/7/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,748,1.36
5/14/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,55,1.12
5/14/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,367,1.08
5/14/21,NATIONAL,VEGETABLES,EGGPLANT,,Y,,each,6,1.48
5/21/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,5,1.5
5/21/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,230,1.32
5/28/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,151,1.31
6/4/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,24,1.49
6/4/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,378,1.33
6/11/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,148,0.97
6/11/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,703,1.31
6/18/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,774,1.37
6/18/21,NATIONAL,VEGETABLES,EGGPLANT,,Y,,per pound,7,1.49
6/25/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,51,1.05
6/25/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,"1,386",1.41
6/25/21,NATIONAL,VEGETABLES,EGGPLANT,,Y,,each,7,1.49
7/2/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,613,1.46
7/9/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,303,1.22
7/9/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,"1,242",1.26
7/16/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,114,1.1
7/16/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,"1,111",1.34
7/23/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,11,1.97
7/23/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,"1,405",1.16
7/30/21,NATIONAL,VEGETABLES,EGGPLANT,,,,each,60,1.62
7/30/21,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,832,1.25
